ID,Gender,Age,,Race,Income,AVG Income,Codes:,Code2,Code3
384,Male,57,,White ,"$75,001 - $125,000",100000,Small Town, Children&Youth,
385,Female,20,,White ,"$15,001 - $30,000",22000,Education,,
386,Female,52,,White ,"$45,001 - $75,000",60000,Small Town ,,
387,Female,65,,White ,,200000,Inclusion, Small Town,
388,Male,24,,White ,"$15,001 - $30,000",22000,Health & Safety,,
389,Female,52,,White ,"$30,001 - $45,000",37000,Economic Opportunity,,
390,Female,63,,White ,"$75,001 - $125,000",100000,Nature, Small Town, Education
391,Female,23,,White ,"$30,001 - $45,000",37000,Small Town ,,
392,Female,41,,White ,"$30,001 - $45,000",37000,Health & Safety,,
393,Female,49,,White ,"$30,001 - $45,000",37000,Economic Opportunity, Children&Youth,
394,Female,48,,White ,"$30,001 - $45,000",37000,Inclusion, Economic Opportunity,
395,Female,,,White ,"$30,001 - $45,000",37000,Transportation,,
396,Male,60,,White ,"$75,001 - $125,000",100000,Small Town, Economic Opportuntiy,
397,Female,49,,White ,"$45,001 - $75,000",60000,Nature, Small Town ,
398,Female,55,,White ,"$45,001 - $75,000",60000,Small Town, Health & Safety,
399,Female,24,,White ,"$15,001 - $30,000",22000,Children&Youth, Economic Opportunity,
400,Male,53,,White ,"$15,001 - $30,000",22000,Small Town, Economic Opportuntiy,
401,Female,61,,White ,"$45,001 - $75,000",60000,Small Town,,
402,Female,49,,White ,"$45,001 - $75,000",60000,Small Town, Health & Safety, Inclusion
403,Female,50,,White ,"$30,001 - $45,000",37000,Small Town, Children&Youth,
404,Female,51,,White ,"$75,001 - $125,000",100000,Small Town, Health & Safety,
405,Female,59,,White ,"$75,001 - $125,000",100000,Small Town, Nature,
406,Male,43,,White ,"$30,001 - $45,000",37000,Small Town, Health & Safety,
407,Female,56,,White ,"$45,001 - $75,000",60000,Small Town, Transportation,
408,Female,23,,White ,"$30,001 - $45,000",37000,Nature,,
409,Female,45,,White ,"$30,001 - $45,000",37000,Economic Opportunity, Nature,
410,Female,59,,White ,"$45,001 - $75,000",60000,Small Town, Education,
411,Male,43,,White ,"$15,001 - $30,000",22000,Small Town, Economic Opportuntiy,
412,Female,44,,White ,"$30,001 - $45,000",37000,Economic Opportunity,,
413,Female,62,,White ,"$45,001 - $75,000",60000,Transportation, Health & Safety,
414,Female,53,,White ,"$15,001 - $30,000",22000,Children&Youth, Economic Opportunity,
415,Male,44,,White ,"$15,001 - $30,000",22000,Small Town,,
416,Female,60,,White ,"$45,001 - $75,000",60000,Nature,,
417,Female,52,,White ,"$30,001 - $45,000",37000,Economic Opportunity,,
418,Female,40,,White ,"$30,001 - $45,000",37000,Small Town, Education,
419,Female,50,,White ,"$30,001 - $45,000",37000,Small Town, Economic Opportuntiy,
420,Female,28,,White ,"$30,001 - $45,000",37000,Nature, Economic Opportunity,
421,Female,65,,White ,"$45,001 - $75,000",60000,Small Town, Education,
422,Female,55,,White ,"$45,001 - $75,000",60000,Small Town, Health & Safety,
423,Male,55,,White ,"$30,001 - $45,000",37000,Health & Safety,,
424,Female,41,,White ,"$45,001 - $75,000",60000,Children&Youth, Education, Economic Opportunity
425,Female,32,,White ,"$45,001 - $75,000",60000,Small Town,,
426,Female,48,,White ,"$75,001 - $125,000",100000,Health & Safety,,
427,Female,60,,White ,"$45,001 - $75,000",60000,Small Town, Health & Safety,
428,Female,26,,White ,"$30,001 - $45,000",37000,Small Town, Health & Safety,
429,Female,50,,White ,"$45,001 - $75,000",60000,Small Town, Economic Opportuntiy,
430,Female,46,,White ,"$15,001 - $30,000",22000,Health & Safety,,
431,Female,19,,Asian,"$0 - $15,000",8000,Children&Youth, Economic Opportunity,
432,Female,44,,White ,"$75,001 - $125,000",100000,Health & Safety,,
433,Male,57,,White ,"$45,001 - $75,000",60000,Small Town, Economic Opportuntiy,
434,Female,52,,White ,"$15,001 - $30,000",22000,Small Town, Economic Opportuntiy,
435,Female,36,,White ,"$75,001 - $125,000",100000,Economic Opportunity, Education,
436,Female,,,White ,"$45,001 - $75,000",60000,Small Town, Nature,
437,Female,58,,White ,"$75,001 - $125,000",100000,Nature, Economic Opportunity,
438,Female,42,,White ,,,Small Town, Nature, Economic Opportunity
439,Female,47,,White ,"$15,001 - $30,000",22000,Health & Safety,,
440,Female,42,,White ,"$45,001 - $75,000",60000,Small Town, Transportation,
441,Female,50,,Black,"> $125,000",100000,Small Town, Health & Safety,
442,Female,42,,White ,"$30,001 - $45,000",37000,Small Town, Nature,
443,Female,50,,White ,"> $125,000",200000,Small Town, Nature,
444,Female,69,,White ,"$75,001 - $125,000",100000,Nature,,
445,Male,68,,Mixed,"$30,001 - $45,000",37000,Nature,,
446,Female,38,,White ,"> $125,000",200000,Nature, Children&Youth,
447,Female,55,,White ,"$45,001 - $75,000",60000,Small Town, Health & Safety,
448,Female,60,,White ,"$15,001 - $30,000",22000,Transportation, Health & Safety,
449,Female,29,,White ,"$45,001 - $75,000",60000,Economic Opportunity,,
450,Female,35,,White ,"$75,001 - $125,000",100000,Small Town, Children&Youth,
451,Female,,,White ,"$75,001 - $125,000",100000,Economic Opportunity,,
452,Female,52,,White ,"$30,001 - $45,000",37000,Small Town, Economic Opportuntiy,
